ICSD/MP_ID,formula,sources,MinMass(F1),AverMass(F2),MaxMass(F3),MinPeriodNum(F4),AverPeriodNum(F5),MaxPeriodNum(F6),MinGroupNum(F7),AverGroupNum(F8),MaxGroupNum(F9),MinRaduis(F10),AverRaduis(F11),MaxRaduis(F12),MinEleNegativity(F13),AverEleNegativity(F14),MaxEleNegativity(F15),AverSValenceEleNum(F16),AverPValenceEleNum(F17),AverDValenceEleNum(F18),AverFValenceEleNum(F19),AverSUnfilledState(F20),AverPUnfilledState(F21),AverDUnfilledState(F22),AverFUnfilledState(F23),MinIonizationEner(F24),AverIonizationEner(F25),MaxIonizationEner(F26),MinEleAffinity(F27),AverEleAffinity(F28),MaxEleAffinity(F29),MinMeltingPoint(F30),AverMeltingPoint(F31),MaxMeltingPoint(F32),MinBoilingPoint(F33),AverBoilingPoint(F34),MaxBoilingPoint(F35),MinDensity(F36),AverDensity(F37),MaxDensity(F38),NegaMinGap(SN1),NegaAverGap(SN2),NegaMaxGap(SN3),MinNegaDipoleTotal(SN4),AverNegaDipoleTotal(SN5),MaxNegaDipoleTotal(SN6),MinNegaAnisoQuadrupole(SN7),AverNegaAnisoQuadrupole(SN8),MaxNegaAnisoQuadrupole(SN9),MinNegaAnisoPolar(SN10),AverNegaAnisoPolar(SN11),MaxNegaAnisoPolar(SN12),MinNegaTotalHyperPolar(SN13),AverNegaTotalHyperPolar(SN14),MaxNegaTotalHyperPolar(SN15),TotalNegaCharge(SN16),TotalNegaMultiplicity(SN17),MinNegaFlexibility(SN18),TotalNegaFlexibility(SN19),AverNegaFlexibility(SN20),MaxNegaFlexibility(SN21),AverNegaCharge(SN22),PosiMinGap(SP1),PosiAverGap(SP2),PosiMaxGap(SP3),MinPosiDipoleTotal(SP4),AverPosiDipoleTotal(SP5),MaxPosiDipoleTotal(SP6),MinPosiAnisoQuadrupole(SP7),AverPosiAnisoQuadrupole(SP8),MaxPosiAnisoQuadrupole(SP9),MinPosiAnisoPolar(SP10),AverPosiAnisoPolar(SP11),MaxPosiAnisoPolar(SP12),MinPosiTotalHyperPolar(SP13),AverPosiTotalHyperPolar(SP14),MaxPosiTotalHyperPolar(SP15),TotalPosiCharge(SP16),TotalPosiMultiplicity(SP17),MinPosiFlexibility(SP18),TotalPosiFlexibility(SP19),AverPosiFlexibility(SP20),MaxPosiFlexibility(SP21),Eg_PBE(eV),Eg_EXP(eV),delta_n,d_ij(pm/V)
243552,Sr2ZnGe2S6O,ICSD,15.999,49.523,87.6,2,3.5,5,2,13,16,139,190.917,249,0.95,2.208,3.44,2,2.667,2.5,0,0,1.833,0,0,5.695,9.364,13.618,-1.51,1.141,2.077,54.36,633.333,1211.4,90.2,1258.225,3106,0.001,2.955,7.134,5.743,6.455,7.168,16.367,24.256,32.145,27.884,51.148,53.783,0,0.118,0.235,0,83.081,166.162,-6,2,0,0.046,0.023,0.046,-3,7.099,7.902,8.706,5.733,7.256,8.778,15.242,20.679,26.848,18.888,46.036,73.184,1934.71,9747.955,17561.2,0,2,0.046,0.213,0.107,0.167,2.469,,0.158,2.8665
243671,RbB2SbO6,ICSD,10.81,32.484,121.76,2,2.6,5,1,13.8,16,152,180.5,303,0.82,2.759,3.44,1.9,2.9,1,0,0.1,2.5,0,0,4.177,11.112,13.618,0.277,1.086,1.461,54.36,623.84,2348,90.2,1190.82,4273,0.001,1.296,6.685,4.813,6.339,7.864,35.678,66.021,96.363,103.947,117.994,644.424,0.028,138.874,277.72,2.646,84.103,165.56,-6,2,0.062,0.132,0.066,0.07,-3,5.014,5.014,5.014,4.599,4.599,4.599,33.92,38.519,33.92,303.357,303.357,303.357,60853.629,60853.629,60853.629,0,1,0.099,0.099,0.099,0.099,3.568,,0.097,1.358
243885,Ba12LiF4(BO3)7,ICSD,6.938,47.612,137.33,2,3.067,6,1,11.556,17,135,188.311,268,0.89,2.536,3.98,1.978,2.467,0,0,0.022,1.8,0,0,5.212,10.704,17.423,-0.48,0.907,3.339,53.53,672.118,2348,85.03,1328.896,4273,0.001,1.347,3.62,4.813,9.987,15.161,10.202,22.94,35.678,21.668,33.774,103.947,0,138.86,277.72,0,82.78,165.56,-4,2,0,0.07,0.035,0.07,-2,7.437,7.615,7.792,0.002,4.146,8.29,24.519,17.093,25.893,5.274,31.667,58.06,8.625,5631.413,11254.2,0,2,0.057,0.291,0.146,0.234,3.891,,0.003,1.3685
243887,Ba12NaF4(BO3)7,ICSD,10.81,47.969,137.33,2,3.089,6,1,11.556,17,135,189.311,268,0.89,2.534,3.98,1.978,2.467,0,0,0.022,1.8,0,0,5.139,10.699,17.423,-0.48,0.906,3.339,53.53,670.281,2348,85.03,1318.696,4273,0.001,1.356,3.62,4.813,9.987,15.161,10.202,22.94,35.678,21.668,33.774,103.947,0,138.86,277.72,0,82.78,165.56,-4,2,0,0.07,0.035,0.07,-2,6.246,6.842,7.437,1.865,5.077,8.29,25.893,18.024,30.739,58.06,68.029,77.998,9284.889,10269.545,11254.2,0,2,0.083,0.317,0.159,0.234,3.339,,0.005,1.4315
244133,Na4CsB2P3O13,ICSD,10.81,23.8,132.905,2,2.478,6,1,12.348,16,152,180.478,343,0.79,2.603,3.44,1.783,2.739,0,0,0.217,1.957,0,0,3.894,10.85,13.618,0.277,1.063,1.461,54.36,353.912,2348,90.2,736.85,4273,0.001,0.697,2.37,4.813,5.762,6.71,19.001,27.34,35.678,25.055,39.867,103.947,0.018,138.869,277.72,39.27,102.415,165.56,-6,2,0.07,0.177,0.089,0.107,-3,5.389,5.818,6.246,1.865,2.116,2.367,28.297,16.264,30.739,77.998,172.249,266.501,9284.889,18325.218,27365.547,0,2,0.083,0.202,0.101,0.119,5.184,,0.01,0.0195
244134,Na4RbB2P3O13,ICSD,10.81,21.737,85.468,2,2.435,5,1,12.348,16,152,178.739,303,0.82,2.605,3.44,1.783,2.739,0,0,0.217,1.957,0,0,4.177,10.862,13.618,0.277,1.063,1.461,54.36,354.384,2348,90.2,737.589,4273,0.001,0.68,2.37,4.813,5.762,6.71,19.001,27.34,35.678,25.055,39.867,103.947,0.018,138.869,277.72,39.27,102.415,165.56,-6,2,0.07,0.177,0.089,0.107,-3,5.014,5.63,6.246,1.865,3.232,4.599,30.739,20.192,33.92,77.998,190.677,303.357,9284.889,35069.259,60853.629,0,2,0.083,0.182,0.091,0.099,5.058,,0.011,0.0435
244334,K7PbBi2(B5O10)3,ICSD,10.81,28.018,208.98,2,2.473,6,1,13.2,16,152,181.473,275,0.82,2.653,3.44,1.873,2.6,0.545,0.764,0.127,2.636,0,0,4.341,10.643,13.618,0.277,0.977,1.461,54.36,743.568,2348,90.2,1449.473,4273,0.001,1.323,11.342,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,5.294,8.779,10.881,0,2.473,4.781,17.622,11.192,34.753,23.084,95.533,230.047,1.051,10780.733,30942.76,0,3,0.039,0.195,0.065,0.094,2.79,,0.014,2.3865
244340,K7BaY2(B5O10)3,ICSD,10.81,22.381,137.33,2,2.436,6,1,12.545,16,152,183.109,275,0.82,2.598,3.44,1.873,2.455,0.036,0,0.127,2.455,0.327,0,4.341,10.564,13.618,-0.48,0.939,1.461,54.36,796.3,2348,90.2,1516.927,4273,0.001,0.989,4.47,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,5.294,7.023,8.339,0.019,3.649,8.29,25.893,12.28,48.536,24.97,104.359,230.047,15.69,14070.883,30942.76,0,3,0.094,0.425,0.142,0.234,4.45,,0.012,1.3355
244341,K7SrBi2(B5O10)3,ICSD,10.81,25.843,208.98,2,2.455,6,1,12.982,16,152,182.327,275,0.82,2.628,3.44,1.873,2.564,0.364,0.509,0.127,2.564,0,0,4.341,10.612,13.618,-1.51,0.943,1.461,54.36,751.738,2348,90.2,1442.8,4273,0.001,1.165,9.807,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,5.294,7.758,10.881,0,3.806,8.778,26.155,12.524,34.753,33.468,112.233,230.047,1.051,16168.337,30942.76,0,3,0.039,0.301,0.1,0.167,3.617,,0.005,2.0795
244343,K7CaY2(B5O10)3,ICSD,10.81,20.613,88.906,2,2.4,5,1,12.545,16,152,182.436,275,0.82,2.6,3.44,1.873,2.455,0.036,0,0.127,2.455,0.327,0,4.341,10.581,13.618,-1.39,0.922,1.461,54.36,798.391,2348,90.2,1509.418,4273,0.001,0.951,4.47,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,5.294,6.913,8.339,0.019,3.801,8.746,25.832,19.98,48.536,24.97,105.174,230.047,15.69,15046.083,30942.76,0,3,0.094,0.328,0.109,0.137,4.475,,0.005,1.142
