ICSD/MP_ID,formula,sources,MinMass(F1),AverMass(F2),MaxMass(F3),MinPeriodNum(F4),AverPeriodNum(F5),MaxPeriodNum(F6),MinGroupNum(F7),AverGroupNum(F8),MaxGroupNum(F9),MinRaduis(F10),AverRaduis(F11),MaxRaduis(F12),MinEleNegativity(F13),AverEleNegativity(F14),MaxEleNegativity(F15),AverSValenceEleNum(F16),AverPValenceEleNum(F17),AverDValenceEleNum(F18),AverFValenceEleNum(F19),AverSUnfilledState(F20),AverPUnfilledState(F21),AverDUnfilledState(F22),AverFUnfilledState(F23),MinIonizationEner(F24),AverIonizationEner(F25),MaxIonizationEner(F26),MinEleAffinity(F27),AverEleAffinity(F28),MaxEleAffinity(F29),MinMeltingPoint(F30),AverMeltingPoint(F31),MaxMeltingPoint(F32),MinBoilingPoint(F33),AverBoilingPoint(F34),MaxBoilingPoint(F35),MinDensity(F36),AverDensity(F37),MaxDensity(F38),NegaMinGap(SN1),NegaAverGap(SN2),NegaMaxGap(SN3),MinNegaDipoleTotal(SN4),AverNegaDipoleTotal(SN5),MaxNegaDipoleTotal(SN6),MinNegaAnisoQuadrupole(SN7),AverNegaAnisoQuadrupole(SN8),MaxNegaAnisoQuadrupole(SN9),MinNegaAnisoPolar(SN10),AverNegaAnisoPolar(SN11),MaxNegaAnisoPolar(SN12),MinNegaTotalHyperPolar(SN13),AverNegaTotalHyperPolar(SN14),MaxNegaTotalHyperPolar(SN15),TotalNegaCharge(SN16),TotalNegaMultiplicity(SN17),MinNegaFlexibility(SN18),TotalNegaFlexibility(SN19),AverNegaFlexibility(SN20),MaxNegaFlexibility(SN21),AverNegaCharge(SN22),PosiMinGap(SP1),PosiAverGap(SP2),PosiMaxGap(SP3),MinPosiDipoleTotal(SP4),AverPosiDipoleTotal(SP5),MaxPosiDipoleTotal(SP6),MinPosiAnisoQuadrupole(SP7),AverPosiAnisoQuadrupole(SP8),MaxPosiAnisoQuadrupole(SP9),MinPosiAnisoPolar(SP10),AverPosiAnisoPolar(SP11),MaxPosiAnisoPolar(SP12),MinPosiTotalHyperPolar(SP13),AverPosiTotalHyperPolar(SP14),MaxPosiTotalHyperPolar(SP15),TotalPosiCharge(SP16),TotalPosiMultiplicity(SP17),MinPosiFlexibility(SP18),TotalPosiFlexibility(SP19),AverPosiFlexibility(SP20),MaxPosiFlexibility(SP21),Eg_PBE(eV),Eg_EXP(eV),delta_n,d_ij(pm/V)
69387,Ca2Zn(Ge2O7),ICSD,15.999,33.568,72.63,2,2.833,4,2,13,16,139,173.917,231,1,2.646,3.44,2,2.667,2.5,0,0,1.833,0,0,6.113,11.062,13.618,-1.39,0.853,1.461,54.36,477.167,1211.4,90.2,961.45,3106,0.001,1.739,7.134,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,7.107,7.906,8.706,5.733,7.239,8.746,15.242,14.861,25.832,18.888,39.697,60.506,1934.71,8057.255,14179.8,0,2,0.046,0.183,0.092,0.137,3.419,,0.069,0.3875
71871,Sr5Cl(BO3)3,ICSD,10.81,36.104,87.6,2,2.889,5,2,11.667,17,152,186.889,249,0.95,2.499,3.44,2,2.444,0,0,0,1.889,0,0,5.695,10.494,13.618,-1.51,0.558,3.617,54.36,719.716,2348,90.2,1230.273,4273,0.001,1.129,2.64,4.813,8.041,11.269,3.625,19.652,35.678,2.735,21.019,103.947,0,138.86,277.72,0,82.78,165.56,-4,2,0,0.07,0.035,0.07,-2,7.099,7.099,7.099,8.778,8.778,8.778,26.848,35.626,26.848,73.184,73.184,73.184,17561.2,17561.2,17561.2,0,1,0.167,0.167,0.167,0.167,4.315,,0.018,0.77
72098,Li3(AlGeO5),ICSD,6.938,20.042,72.63,2,2.3,4,1,11,16,152,170.1,211,0.98,2.376,3.44,1.7,2.3,1,0,0.3,1.9,0,0,5.392,9.815,13.618,0.441,1.095,1.461,54.36,377.759,1211.4,90.2,1119.4,3106,0.001,0.963,5.323,5.743,8.014,10.286,32.145,33.913,35.68,53.783,60.804,109.396,0.235,39.217,78.199,22.985,94.573,166.162,-7,2,0.046,0.119,0.06,0.073,-3.5,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,4.331,,0.006,0.687
72101,Li3(GaGeO5),ICSD,6.938,24.316,72.63,2,2.4,4,1,11,16,152,170.4,211,0.98,2.396,3.44,1.7,2.3,2,0,0.3,1.9,0,0,5.392,9.817,13.618,0.3,1.081,1.461,54.36,314.706,1211.4,90.2,1087.9,3106,0.001,1.284,5.91,5.743,5.987,6.23,32.145,34.226,36.306,53.783,61.117,109.177,0.235,69.592,138.949,34.606,100.384,166.162,-7,2,0.042,0.088,0.044,0.046,-3.5,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,3.417,,0.014,1.224
72860,Na3PS4,ICSD,22.99,28.528,32.07,3,3,3,1,10.25,16,180,197.625,227,0.93,1.913,2.58,1.625,2.375,0,0,0.375,1.375,0,0,5.139,8.418,10.487,0.548,1.337,2.077,317.3,372.949,388.36,553.65,861.581,1156,0.97,1.625,2.067,6.71,6.939,7.168,16.367,17.684,19.001,25.055,31.626,27.884,0,0.009,0.018,0,19.635,39.27,-5,2,0,0.107,0.054,0.107,-2.5,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,2.29,,0.009,9.64
73550,K6(Ge2O7),ICSD,15.999,32.789,72.63,2,3.067,4,1,9.733,16,152,209.067,275,0.82,2.201,3.44,1.6,2.133,1.333,0,0.4,1.467,0,0,4.341,9.145,13.618,0.501,1.062,1.461,54.36,321.5,1211.4,90.2,869.027,3106,0.001,1.066,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,2.882,,0.014,0.5415
73613,RbGe(IO6),ICSD,15.999,42.333,126.905,2,2.889,5,1,14.222,17,152,180.444,303,0.82,2.903,3.44,1.889,3.444,2.222,0,0.111,1.889,0,0,4.177,11.582,13.618,0.468,1.516,3.059,54.36,248.541,1211.4,90.2,562.861,3106,0.001,1.31,5.323,2.593,4.168,5.743,32.145,41.393,50.64,53.783,101.516,120.246,0.235,233.043,465.85,0.043,83.102,166.162,-9,2,0.046,0.168,0.084,0.121,-4.5,5.014,5.014,5.014,4.599,4.599,4.599,33.92,38.519,33.92,303.357,303.357,303.357,60853.629,60853.629,60853.629,0,1,0.099,0.099,0.099,0.099,2.43,,0.069,0.873
74548,Ca2(B5O9)Cl(H2O),ICSD,1.008,16.583,40.08,1,2.15,4,1,12.4,17,120,167.85,231,1,2.708,3.44,1.9,2.5,0,0,0.1,2.3,0,0,6.113,11.503,13.618,-1.39,0.917,3.617,13.81,735.644,2348,20.28,1303.034,4273,0,0.747,2.37,4.813,10.639,15.835,1.873,13.725,35.678,2.735,14.637,103.947,0,92.758,277.72,0,82.712,165.56,-4,3,0,0.07,0.023,0.07,-1.333,7.107,7.107,7.107,8.746,8.746,8.746,25.832,34.578,25.832,60.506,60.506,60.506,14179.8,14179.8,14179.8,0,1,0.137,0.137,0.137,0.137,5.269,,0.057,1.919
74594,KTiOAsO4,ICSD,15.999,30.236,74.922,2,2.75,4,1,12.5,16,152,175.875,275,0.82,2.718,3.44,1.875,2.875,1.5,0,0.125,1.625,1,0,4.341,11.134,13.618,0.079,1.087,1.461,54.36,454.916,1941,90.2,741.25,3560,0.001,1.397,5.776,2.004,4.706,7.407,34.131,37.433,40.735,96.002,95.01,115.154,0.038,274.435,548.832,26.703,164026.814,328026.924,-7,2,0.061,0.125,0.063,0.064,-3.5,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,3.01,4.9,0.087,
74595,CsTiOAsO4,ICSD,15.999,41.962,132.905,2,3,6,1,12.5,16,152,184.375,343,0.79,2.714,3.44,1.875,2.875,1.5,0,0.125,1.625,1,0,3.894,11.078,13.618,0.079,1.083,1.461,54.36,450.549,1941,90.2,730.25,3560,0.001,1.527,5.776,2.004,4.706,7.407,34.131,37.433,40.735,96.002,95.01,115.154,0.038,274.435,548.832,26.703,164026.814,328026.924,-7,2,0.061,0.125,0.063,0.064,-3.5,5.389,5.389,5.389,2.367,2.367,2.367,28.297,30.664,28.297,266.501,266.501,266.501,27365.547,27365.547,27365.547,0,1,0.119,0.119,0.119,0.119,2.94,3.009,0.07,
75340,Ba3Sc(BO3)3,ICSD,10.81,39.585,137.33,2,2.875,6,2,12,16,152,184.938,268,0.89,2.569,3.44,2,2.438,0.063,0,0,2.063,0.563,0,5.212,10.603,13.618,-0.48,0.796,1.461,54.36,771.703,2348,90.2,1453.113,4273,0.001,1.311,3.62,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,7.437,8.033,8.629,0.006,4.148,8.29,25.893,17.095,41.18,5.822,31.941,58.06,2.369,5628.284,11254.2,0,2,0.083,0.317,0.159,0.234,3.856,,0.127,0.5005
75594,NaBe2(BO3)F2,ICSD,9.012,15.313,22.99,2,2.111,3,1,11.111,17,135,161.222,227,0.93,2.71,3.98,1.889,2.556,0,0,0.111,1.444,0,0,5.139,11.976,17.423,0.277,1.405,3.339,53.53,678.788,2348,85.03,1261.962,4273,0.001,0.783,2.37,4.813,8.852,15.161,10.202,22.191,35.678,21.668,29.414,103.947,0,94.124,277.72,0,55.19,165.56,-6,3,0,0.133,0.044,0.07,-2,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,6.09,,0.071,0.985
75995,CsLi(B6O10),ICSD,6.938,20.261,132.905,2,2.222,6,1,13.333,16,152,177.611,343,0.79,2.689,3.44,1.889,2.556,0,0,0.111,2.778,0,0,3.894,10.847,13.618,0.277,0.965,1.461,54.36,854.824,2348,90.2,1616.611,4273,0.001,0.928,2.37,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,5.389,6.591,7.792,0.002,1.185,2.367,24.519,15.333,28.297,5.274,135.888,266.501,8.625,13687.086,27365.547,0,2,0.057,0.177,0.088,0.119,5.08,6.89,0.049,1.267
77277,KBe2(BO3)F2,ICSD,9.012,17.103,39.098,2,2.222,4,1,11.111,17,135,166.556,275,0.82,2.698,3.98,1.889,2.556,0,0,0.111,1.444,0,0,4.341,11.887,17.423,0.277,1.4,3.339,53.53,674.963,2348,85.03,1248.184,4273,0.001,0.774,2.37,4.813,8.852,15.161,10.202,22.191,35.678,21.668,29.414,103.947,0,94.124,277.72,0,55.19,165.56,-6,3,0,0.133,0.044,0.07,-2,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,6.05,8.3,0.067,0.935
77518,Ca(BPO5),ICSD,10.81,20.232,40.08,2,2.375,4,2,13.75,16,152,170.375,231,1,2.804,3.44,2,3,0,0,0,2.25,0,0,6.113,11.624,13.618,-1.39,0.867,1.461,54.36,506.513,2348,90.2,879.331,4273,0.001,0.717,2.37,4.813,5.762,6.71,19.001,27.34,35.678,25.055,39.867,103.947,0.018,138.869,277.72,39.27,102.415,165.56,-6,2,0.07,0.177,0.089,0.107,-3,7.107,7.107,7.107,8.746,8.746,8.746,25.832,34.578,25.832,60.506,60.506,60.506,14179.8,14179.8,14179.8,0,1,0.137,0.137,0.137,0.137,5.252,,0.015,0.0805
77519,Sr(BPO5),ICSD,10.81,26.172,87.6,2,2.5,5,2,13.75,16,152,172.625,249,0.95,2.798,3.44,2,3,0,0,0,2.25,0,0,5.695,11.571,13.618,-1.51,0.852,1.461,54.36,498.388,2348,90.2,866.581,4273,0.001,0.855,2.64,4.813,5.762,6.71,19.001,27.34,35.678,25.055,39.867,103.947,0.018,138.869,277.72,39.27,102.415,165.56,-6,2,0.07,0.177,0.089,0.107,-3,7.099,7.099,7.099,8.778,8.778,8.778,26.848,35.626,26.848,73.184,73.184,73.184,17561.2,17561.2,17561.2,0,1,0.167,0.167,0.167,0.167,5.697,,0.018,0.1095
79025,Sr2(Be2B2O7),ICSD,9.012,25.141,87.6,2,2.462,5,2,11.231,16,152,173.231,249,0.95,2.554,3.44,2,2.308,0,0,0,1.846,0,0,5.695,10.92,13.618,-1.51,0.655,1.461,54.36,792.04,2348,90.2,1382.723,4273,0.001,1.056,2.64,4.813,5.697,6.58,20.694,28.186,35.678,68.73,80.159,103.947,4.651,141.185,277.72,0.011,82.785,165.56,-5,2,0.063,0.133,0.067,0.07,-2.5,7.099,7.099,7.099,8.778,8.778,8.778,26.848,35.626,26.848,73.184,73.184,73.184,17561.2,17561.2,17561.2,0,1,0.167,0.167,0.167,0.167,4.08,8,0.066,1.457
80318,CsGeBr3,ICSD,72.63,89.047,132.905,4,4.4,6,1,13.2,17,183,220.6,343,0.79,2.336,2.96,1.8,3.4,8,0,0.2,1.4,0,0,3.894,9.447,11.814,0.472,2.383,3.365,265.95,462.168,1211.4,331.95,1009.17,3106,1.93,3.317,5.323,3.336,6.65,9.964,12.102,19.441,26.78,30.492,34.687,98.186,0,357.8,715.599,0,1142.12,2284.24,-5,2,0,0.037,0.018,0.037,-2.5,5.389,5.389,5.389,2.367,2.367,2.367,28.297,30.664,28.297,266.501,266.501,266.501,27365.547,27365.547,27365.547,0,1,0.119,0.119,0.119,0.119,0.79,2.38,0.001,4.5
80875,Cd2P2S6,ICSD,30.974,47.919,112.41,3,3.4,5,12,15,16,158,175.6,180,1.69,2.324,2.58,2,3,2,0,0,1.8,0,0,8.994,10.112,10.487,0.27,1.449,2.077,317.3,415.32,594.22,553.65,749.38,1040,1.82,3.342,8.69,6.71,6.939,7.168,16.367,17.684,19.001,25.055,31.626,27.884,0,0.009,0.018,0,19.635,39.27,-5,2,0,0.107,0.054,0.107,-2.5,8.21,8.21,8.21,5.967,5.967,5.967,15.344,21.311,15.344,24.923,24.923,24.923,2087.21,2087.21,2087.21,0,1,0.058,0.058,0.058,0.058,1.77,,0.2778,0.95
81441,Ba2NaNb5O15,ICSD,15.999,43.572,137.33,2,3.043,6,1,11.739,16,152,177.304,268,0.89,2.709,3.44,1.739,2.609,0.87,0,0.261,1.304,1.304,0,5.139,11.027,13.618,-0.48,1.129,1.461,54.36,736.363,2750,90.2,1388.435,5017,0.001,2.221,8.57,7.107,7.107,7.107,60.144,60.144,60.144,250.977,311.121,250.977,0.772,0.772,0.772,40.632,40.632,40.632,-3,1,0.095,0.095,0.095,0.095,-3,6.246,6.842,7.437,1.865,5.077,8.29,25.893,18.024,30.739,58.06,68.029,77.998,9284.889,10269.545,11254.2,0,2,0.083,0.317,0.159,0.234,2.49,3.41,0.088,
82143,KAg2SbS4,ICSD,32.07,63.109,121.76,3,3.875,5,1,12.75,16,172,193.125,275,0.82,2.131,2.58,1.625,2.375,3.75,0,0.375,1.375,0,0,4.341,8.697,10.36,0.501,1.56,2.077,336.53,657.951,1234.93,717.75,1329.125,2435,0.89,4.606,10.501,7.168,7.516,7.864,16.367,56.365,96.363,27.884,70.307,644.424,0,0.014,0.028,0,1.323,2.646,-5,2,0,0.062,0.031,0.062,-2.5,5.294,6.714,8.134,2.639,3.378,4.117,17.654,12.205,34.753,49.389,139.718,230.047,3347.113,17144.937,30942.76,0,2,0.05,0.144,0.072,0.094,0.57,2.2,,11.56
82145,RbAg2SbS4,ICSD,32.07,68.906,121.76,3,4,5,1,12.75,16,172,196.625,303,0.82,2.131,2.58,1.625,2.375,3.75,0,0.375,1.375,0,0,4.177,8.676,10.36,0.468,1.556,2.077,312.46,654.943,1234.93,717.75,1320.25,2435,1.53,4.686,10.501,7.168,7.516,7.864,16.367,56.365,96.363,27.884,70.307,644.424,0,0.014,0.028,0,1.323,2.646,-5,2,0,0.062,0.031,0.062,-2.5,5.014,6.574,8.134,4.117,4.358,4.599,17.654,13.185,33.92,49.389,176.373,303.357,3347.113,32100.371,60853.629,0,2,0.05,0.15,0.075,0.099,0.62,2.3,,8.43
82393,Sr(Ge4O9),ICSD,15.999,37.294,87.6,2,2.786,5,2,14.429,16,152,175.786,249,0.95,2.854,3.44,2,3.143,2.857,0,0,2.429,0,0,5.695,11.418,13.618,-1.51,1.217,1.461,54.36,456.06,1211.4,90.2,1063.629,3106,0.001,1.71,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,7.099,7.099,7.099,8.778,8.778,8.778,26.848,35.626,26.848,73.184,73.184,73.184,17561.2,17561.2,17561.2,0,1,0.167,0.167,0.167,0.167,3.39,,0.01,0.4125
83345,Sr2(GeO4),ICSD,15.999,44.547,87.6,2,3.143,5,2,11.714,16,152,188.143,249,0.95,2.524,3.44,2,2.571,1.429,0,0,1.714,0,0,5.695,10.537,13.618,-1.51,0.596,1.461,54.36,504.12,1211.4,90.2,968.114,3106,0.001,1.516,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,7.099,7.099,7.099,8.778,8.778,8.778,26.848,35.626,26.848,73.184,73.184,73.184,17561.2,17561.2,17561.2,0,1,0.167,0.167,0.167,0.167,3.814,,0.014,0.1405
83734,Ba(Ge4O9),ICSD,15.999,40.846,137.33,2,2.857,6,2,14.429,16,152,177.143,268,0.89,2.849,3.44,2,3.143,2.857,0,0,2.429,0,0,5.212,11.384,13.618,-0.48,1.291,1.461,54.36,452.489,1211.4,90.2,1100.414,3106,0.001,1.78,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,7.437,7.437,7.437,8.29,8.29,8.29,25.893,34.183,25.893,58.06,58.06,58.06,11254.2,11254.2,11254.2,0,1,0.234,0.234,0.234,0.234,3.359,,0.009,0.52
84617,LiB3O5,ICSD,6.938,13.263,15.999,2,2,2,1,13.333,16,152,168.667,192,0.98,2.7,3.44,1.889,2.556,0,0,0.111,2.778,0,0,5.392,10.931,13.618,0.277,0.973,1.461,54.36,863.272,2348,90.2,1653.889,4273,0.001,0.85,2.37,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,6.36,7.843333333,0.0405,0.582
84855,Tl(B3O5),ICSD,10.81,35.201,204.383,2,2.444,6,13,14.667,16,152,170.222,196,1.62,2.771,3.44,2,2.667,1.111,1.556,0,3.333,0,0,6.108,11.01,13.618,0.2,0.926,1.461,54.36,876.978,2348,90.2,1668.444,4273,0.001,2.102,11.8,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,8.909,8.909,8.909,0.011,0.011,0.011,2.72,2.731,2.72,89.004,89.004,89.004,15.072,15.072,15.072,0,1,0.047,0.047,0.047,0.047,4.202,,0.026,4.926
85006,K2Zn(GeO4),ICSD,15.999,35.028,72.63,2,3,4,1,11.5,16,139,188.5,275,0.82,2.383,3.44,1.75,2.25,2.5,0,0.25,1.5,0,0,4.341,10.056,13.618,0.09,1.036,1.461,54.36,349.323,1211.4,90.2,838.85,3106,0.001,1.78,7.134,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,5.294,7,8.706,2.639,4.186,5.733,15.242,11.807,34.753,18.888,124.468,230.047,1934.71,16438.735,30942.76,0,2,0.046,0.141,0.07,0.094,2.723,,0.001,0.862
85349,Na8(AlGeO4)6I2,ICSD,15.999,30.856,126.905,2,2.696,5,1,12.783,17,152,178.913,227,0.93,2.544,3.44,1.826,2.696,1.739,0,0.174,2.261,0,0,5.139,10.264,13.618,0.441,1.224,3.059,54.36,389.456,1211.4,90.2,1037.302,3106,0.001,1.43,5.323,5.743,8.166,10.286,10.128,25.984,35.68,21.356,33.103,109.396,0,26.145,78.199,0,63.049,166.162,-8,3,0,0.119,0.04,0.073,-2.667,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,3.861,,0,1.057
86152,LiNa(Ge4O9),ICSD,6.938,30.963,72.63,2,2.6,4,1,13.467,16,152,174.733,227,0.93,2.727,3.44,1.867,2.933,2.667,0,0.133,2.267,0,0,5.139,10.98,13.618,0.548,1.314,1.461,54.36,410.629,1211.4,90.2,1067.12,3106,0.001,1.521,5.323,5.743,5.743,5.743,32.145,32.145,32.145,53.783,85.928,53.783,0.235,0.235,0.235,166.162,166.162,166.162,-4,1,0.046,0.046,0.046,0.046,-4,6.246,7.019,7.792,0.002,0.933,1.865,24.519,16.303,30.739,5.274,41.636,77.998,8.625,4646.757,9284.889,0,2,0.057,0.14,0.07,0.083,3.037,,0.001,0.1735
87990,Li8(AlGeO4)6Cl2,ICSD,6.938,24.088,72.63,2,2.435,4,1,12.783,17,152,170.087,211,0.98,2.575,3.44,1.826,2.696,1.304,0,0.174,2.261,0,0,5.392,10.418,13.618,0.441,1.261,3.617,54.36,394.482,1211.4,90.2,1107.631,3106,0.001,1.14,5.323,5.743,9.099,11.269,3.625,23.817,35.68,2.735,41.744,109.396,0,26.145,78.199,0,63.049,166.162,-8,3,0,0.119,0.04,0.073,-2.667,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,3.839,,0,1.28
87991,Li8(AlGeO4)6Br2,ICSD,6.938,26.021,79.9,2,2.478,4,1,12.783,17,152,170.435,211,0.98,2.566,3.44,1.826,2.696,1.739,0,0.174,2.261,0,0,5.392,10.368,13.618,0.441,1.25,3.365,54.36,398.582,1211.4,90.2,1111.667,3106,0.001,1.275,5.323,5.743,8.664,10.286,12.102,26.642,35.68,30.492,36.806,109.396,0,26.145,78.199,0,63.049,166.162,-8,3,0,0.119,0.04,0.073,-2.667,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,3.776,,0,1.218
87992,Li8(AlGeO4)6I2,ICSD,6.938,28.064,126.905,2,2.522,5,1,12.783,17,152,171.087,211,0.98,2.553,3.44,1.826,2.696,1.739,0,0.174,2.261,0,0,5.392,10.308,13.618,0.441,1.236,3.059,54.36,403.838,1211.4,90.2,1117.128,3106,0.001,1.354,5.323,5.743,8.166,10.286,10.128,25.984,35.68,21.356,33.103,109.396,0,26.145,78.199,0,63.049,166.162,-8,3,0,0.119,0.04,0.073,-2.667,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,3.424,,0,1.3505
88790,Sr(GeTeO6),ICSD,15.999,42.647,127.6,2,2.889,5,2,14.222,16,152,175.333,249,0.95,2.856,3.44,2,3.333,2.222,0,0,2,0,0,5.695,11.59,13.618,-1.51,1.175,1.971,54.36,367.802,1211.4,90.2,729.244,3106,0.001,1.578,6.232,2.554,4.148,5.743,32.145,75.17,118.194,53.783,334.899,519.459,0.235,164.757,329.279,166.162,6332.181,12498.2,-10,2,0.046,0.108,0.054,0.062,-5,7.099,7.099,7.099,8.778,8.778,8.778,26.848,35.626,26.848,73.184,73.184,73.184,17561.2,17561.2,17561.2,0,1,0.167,0.167,0.167,0.167,2.95,,0.053,1.1605
89423,Sr(Al2B2O7),ICSD,10.81,22.931,87.6,2,2.417,5,2,13.833,16,152,172.083,249,0.95,2.694,3.44,2,2.667,0,0,0,2.833,0,0,5.695,10.799,13.618,-1.51,0.846,1.461,54.36,666.116,2348,90.2,1368.033,4273,0.001,1.066,2.7,4.813,7.55,10.286,35.678,35.679,35.68,103.947,87.652,109.396,78.199,177.959,277.72,22.985,94.273,165.56,-6,2,0.07,0.143,0.072,0.073,-3,7.099,7.099,7.099,8.778,8.778,8.778,26.848,35.626,26.848,73.184,73.184,73.184,17561.2,17561.2,17561.2,0,1,0.167,0.167,0.167,0.167,4.65,,0.053,1.858
90001,(NH4)(B5O6(OH)4)(H2O)2,ICSD,1.008,9.071,15.999,1,1.6,2,1,9.467,16,120,145.967,192,2.04,2.697,3.44,1.6,1.867,0,0,0.4,1.733,0,0,8.298,12.754,14.534,-0.21,0.925,1.461,13.81,420.706,2348,20.28,758.937,4273,0,0.396,2.37,4.813,10.342,15.835,1.873,16.695,35.678,8.466,51.344,103.947,0.553,94.2,277.72,82.576,277.307,583.784,-4,3,0,0.07,0.023,0.07,-1.333,23.379,23.379,23.379,0.89,0.89,0.89,0.167,1.057,0.167,0.004,0.004,0.004,0.039,0.039,0.039,1,1,0,0,0,0,5.5,,0.058,0.225
90459,AgCd2GaS4,ICSD,32.07,66.336,112.41,3,3.875,5,11,14,16,158,174.375,187,1.69,2.18,2.58,1.875,2.125,5,0,0.125,1.625,0,0,5.999,9.125,10.36,0.27,1.306,2.077,302.91,534.965,1234.93,717.75,1232.875,2477,2.067,5.257,10.501,6.23,6.699,7.168,16.367,26.336,36.306,27.884,80.925,109.177,0,69.475,138.949,0,17.303,34.606,-5,2,0,0.042,0.021,0.042,-2.5,8.134,8.172,8.21,4.117,5.042,5.967,15.344,12.714,17.654,24.923,37.156,49.389,2087.21,2717.162,3347.113,0,2,0.05,0.108,0.054,0.058,1.044,2.15,0.08,1
90849,Li4(B4Si8O24),ICSD,6.938,16.991,28.085,2,2.2,3,1,13.8,16,152,170.6,210,0.98,2.746,3.44,1.9,2.9,0,0,0.1,2.5,0,0,5.392,11.17,13.618,0.277,1.243,1.461,54.36,650.181,2348,90.2,1350.52,4273,0.001,0.757,2.37,4.813,4.855,4.896,29.954,32.816,35.678,46.699,56.166,103.947,0.438,139.079,277.72,165.56,387.301,609.043,-7,2,0.07,0.145,0.072,0.075,-3.5,7.792,7.792,7.792,0.002,0.002,0.002,24.519,24.522,24.519,5.274,5.274,5.274,8.625,8.625,8.625,0,1,0.057,0.057,0.057,0.057,5.28,,0.01,0.042
